seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
4,standard,clean,object_contour_memory,151,0.7682119205298014,0.765498652291105,0.673469387755102,0.048025940988061254,0.05191679980778435,0.027540160344652124,0
4,standard,clean,shuffled_object_memory_control,151,0,0,0,0.29056654644452334,0.8175179692878665,0.9828677338591254,0
4,standard,clean,oracle,151,1,1,1,0,0,0,0
4,standard,corrupt,present_only,151,0.48344370860927155,0.4842767295597484,0.4528301886792453,0.0835999363546165,0.03668743780798667,0,0
4,standard,corrupt,global_scene_memory,151,0.45695364238410596,0.4575792581183416,0.4339622641509434,0.11751506521917526,0.20022115995456297,0.13004442734145044,0
4,standard,corrupt,object_separated_memory,151,0.6357615894039735,0.6350917725580798,0.5510204081632653,0.08672127898993333,0.14289849820251338,0.10652543273704981,0
4,standard,corrupt,object_contour_memory,151,0.6291390728476821,0.6288024643819791,0.5510204081632653,0.08028385757711413,0.12832475367876015,0.10330965061991637,0
4,standard,corrupt,shuffled_object_memory_control,151,0,0,0,0.2749011058524446,0.7419160293220556,0.9816671974397568,0
4,standard,corrupt,oracle,151,1,1,1,0,0,0,0
4,hard,clean,present_only,245,0.4857142857142857,0.48597169070748697,0.47674418604651164,0.08404851963163544,0.04693516645897461,0,0
4,hard,clean,global_scene_memory,245,0.4897959183673469,0.48937297615543124,0.379746835443038,0.11498060072406723,0.23994224957008758,0.11111798093420353,0
4,hard,clean,object_separated_memory,245,0.7714285714285715,0.7723763614954372,0.7375,0.05578392841620708,0.09072396676212006,0.034682984049643185,0
4,hard,clean,object_contour_memory,245,0.7714285714285715,0.7726670591698558,0.7325581395348837,0.052903624655763364,0.05489042357673385,0.029736506832627695,0
4,hard,clean,shuffled_object_memory_control,245,0,0,0,0.2957178827217449,0.8473380696935487,0.9842668477120494,0
4,hard,clean,oracle,245,1,1,1,0,0,0,0
4,hard,corrupt,present_only,245,0.4857142857142857,0.48597169070748697,0.47674418604651164,0.08404851963163544,0.04693516645897461,0,0
4,hard,corrupt,global_scene_memory,245,0.4775510204081633,0.4783779805710921,0.45,0.11372881008996555,0.19172666850778303,0.17305875289521447,0
4,hard,corrupt,object_separated_memory,245,0.6448979591836734,0.6444791973309782,0.5375,0.09141734251951088,0.1466904031307644,0.10123291378329345,0
4,hard,corrupt,object_contour_memory,245,0.6408163265306123,0.6399163477578256,0.5375,0.08491958487248177,0.11184511294567796,0.09836784433235615,0
4,hard,corrupt,shuffled_object_memory_control,245,0,0,0,0.27573769663006775,0.7428536697832224,0.9863687303491135,0
4,hard,corrupt,oracle,245,1,1,1,0,0,0,0
4,extreme,clean,present_only,330,0.48484848484848486,0.48439319822967625,0.4716981132075472,0.08735842695550816,0.0907738208113661,0,0
4,extreme,clean,global_scene_memory,330,0.45151515151515154,0.4516614858189354,0.4444444444444444,0.10975737315446389,0.20363691823831065,0.10923623033303254,0
4,extreme,clean,object_separated_memory,330,0.7878787878787878,0.7861334008048386,0.6944444444444444,0.05162292326761345,0.0656349637029373,0.030715170242228085,0
4,extreme,clean,object_contour_memory,330,0.7757575757575758,0.7737294874575292,0.6666666666666666,0.04996608411762976,0.011929823213198153,0.02660686504382501,0
4,extreme,clean,shuffled_object_memory_control,330,0,0,0,0.2962846913991221,0.846619933194329,0.9855484073807271,0
4,extreme,clean,oracle,330,1,1,1,0,0,0,0
4,extreme,corrupt,present_only,330,0.48484848484848486,0.48439319822967625,0.4716981132075472,0.08735842695550816,0.0907738208113661,0,0
4,extreme,corrupt,global_scene_memory,330,0.48787878787878786,0.4891443167305236,0.4396551724137931,0.11529305023986418,0.19204810504677522,0.15604804566320193,0
4,extreme,corrupt,object_separated_memory,330,0.6060606060606061,0.6056651967517289,0.5660377358490566,0.09173450451820792,0.12207073549824601,0.11782344763338236,0
4,extreme,corrupt,object_contour_memory,330,0.6212121212121212,0.6207298167827338,0.5754716981132075,0.0846744227929806,0.09041112999452916,0.11321144107991594,0
4,extreme,corrupt,shuffled_object_memory_control,330,0,0,0,0.2739418234306431,0.736269073442611,0.9863077992150033,0
4,extreme,corrupt,oracle,330,1,1,1,0,0,0,0
5,standard,clean,present_only,147,0.54421768707483,0.5437579559919986,0.5319148936170213,0.08305327482517831,0.034644686703510286,0,0
5,standard,clean,global_scene_memory,147,0.4557823129251701,0.45390070921985815,0.3617021276595745,0.12447284492861485,0.2677117141711449,0.06596624757215419,0
5,standard,clean,object_separated_memory,147,0.7551020408163265,0.7531255682851428,0.6808510638297872,0.06554178546731165,0.12561180552812096,0.031945712868168254,0
5,standard,clean,object_contour_memory,147,0.7551020408163265,0.752295871976723,0.6382978723404256,0.0612545350948405,0.08320018024566653,0.027009398264395686,0
5,standard,clean,shuffled_object_memory_control,147,0,0,0,0.2933434336950428,0.8270838334141415,0.9875990340303351,0
5,standard,clean,oracle,147,1,1,1,0,0,0,0
5,standard,corrupt,present_only,147,0.54421768707483,0.5437579559919986,0.5319148936170213,0.08305327482517831,0.034644686703510286,0,0
