seed,severity,condition,mode,missing_count,missing_accuracy,missing_soft_iou,missing_brier,missing_ece,outside_hallucination_rate
5,standard,corrupt,present_only,219,0.3378995433789954,0.1997368557762065,0.22277327627989035,0.022295816816365888,0
5,standard,corrupt,last_observation,219,0.6164383561643836,0.4624706515821601,0.2065766201893896,0.27254531364120405,0
5,standard,corrupt,decayed_material_memory,219,0.8356164383561644,0.47374039935076667,0.10184980579735911,0.1567493578933424,0
5,standard,corrupt,contour_material_memory,219,0.863013698630137,0.4379738370597102,0.10332639142669937,0.22389162616468436,0
5,standard,corrupt,shuffled_memory_control,219,0.3515981735159817,0.21010747117252962,0.2987616051025694,0.3311206602351123,0
5,standard,corrupt,oracle,219,1,1,0,0,0
5,hard,clean,present_only,345,0.3130434782608696,0.19808741871947677,0.2242076215919372,0.04145387623648489,0
5,hard,clean,last_observation,345,0.4434782608695652,0.27940761659362245,0.19477618808844688,0.03263553408480941,0
5,hard,clean,decayed_material_memory,345,1,0.8566977304465997,0.012121200086702139,0.07680020015209839,0
5,hard,clean,contour_material_memory,345,1,0.7471349035085705,0.017414739806431455,0.14394347784496167,0
5,hard,clean,shuffled_memory_control,345,0.35942028985507246,0.21476383754948838,0.3904414736743445,0.564508912294086,0
5,hard,clean,oracle,345,1,1,0,0,0
5,hard,corrupt,present_only,345,0.3130434782608696,0.19808741871947677,0.2242076215919372,0.04145387623648489,0
5,hard,corrupt,last_observation,345,0.3855072463768116,0.25818674275667924,0.2506251985120618,0.20099685606931983,0
5,hard,corrupt,decayed_material_memory,345,0.8231884057971014,0.4956992527043744,0.0973734831344426,0.13399281310422356,0
5,hard,corrupt,contour_material_memory,345,0.8463768115942029,0.4544539037509978,0.099183353670673,0.1880735500091291,0
5,hard,corrupt,shuffled_memory_control,345,0.33043478260869563,0.20616979809771327,0.31057557769113636,0.37602624569314114,0
5,hard,corrupt,oracle,345,1,1,0,0,0
5,extreme,clean,present_only,451,0.35476718403547675,0.20003920586221366,0.22199467984112076,0.008288310796039589,0
5,extreme,clean,last_observation,451,0.8004434589800443,0.6396540637724827,0.0864652994007893,0.057050060897536004,0
5,extreme,clean,decayed_material_memory,451,0.9977827050997783,0.8744183228372023,0.010101714034022885,0.06430333947289739,0
5,extreme,clean,contour_material_memory,451,0.9977827050997783,0.7623268833210748,0.015394960620775947,0.13190208346580742,0
5,extreme,clean,shuffled_memory_control,451,0.3370288248337029,0.20393888939639834,0.4061086108253399,0.596450540793176,0
5,extreme,clean,oracle,451,1,1,0,0,0
5,extreme,corrupt,present_only,451,0.35476718403547675,0.20003920586221366,0.22199467984112076,0.008288310796039589,0
5,extreme,corrupt,last_observation,451,0.5077605321507761,0.34233767298306944,0.22222070522088444,0.18649011586146538,0
5,extreme,corrupt,decayed_material_memory,451,0.8004434589800443,0.4823174722889165,0.10808166542595049,0.11147973762093276,0
5,extreme,corrupt,contour_material_memory,451,0.811529933481153,0.4447470051973375,0.10771168040969825,0.15491181072669596,0
5,extreme,corrupt,shuffled_memory_control,451,0.3348115299334812,0.20175909113356694,0.3181517911554263,0.3726784373394741,0
5,extreme,corrupt,oracle,451,1,1,0,0,0
6,standard,clean,present_only,239,0.3054393305439331,0.1990208116212758,0.22338161671740722,0.04214222176202953,0
6,standard,clean,last_observation,239,0.9037656903765691,0.7996494082968,0.049677157732478425,0.05005388970730129,0
6,standard,clean,decayed_material_memory,239,0.99581589958159,0.8816649443137358,0.009289458674942104,0.05764677483466718,0
6,standard,clean,contour_material_memory,239,0.9916317991631799,0.7743497649268934,0.01405224556293194,0.12218592344893342,0
6,standard,clean,shuffled_memory_control,239,0.2803347280334728,0.16612386122418699,0.44438568626360103,0.6578343967134506,0
6,standard,clean,oracle,239,1,1,0,0,0
6,standard,corrupt,present_only,239,0.3054393305439331,0.1990208116212758,0.22338161671740722,0.04214222176202953,0
6,standard,corrupt,last_observation,239,0.4100418410041841,0.27210873054405077,0.22280176299742946,0.12589482800005591,0
6,standard,corrupt,decayed_material_memory,239,0.7824267782426778,0.46607794370087746,0.11826642992747259,0.089260903853786,0
6,standard,corrupt,contour_material_memory,239,0.7907949790794979,0.43179242892295316,0.11506165696736893,0.1338415212946826,0
6,standard,corrupt,shuffled_memory_control,239,0.29707112970711297,0.1890487774978872,0.3303719798249551,0.4094205938971883,0
6,standard,corrupt,oracle,239,1,1,0,0,0
6,hard,clean,present_only,375,0.2986666666666667,0.19736839622037214,0.22607058021406445,0.0692425715829274,0
6,hard,clean,last_observation,375,0.616,0.46149949922903194,0.1366069019301552,0.07216855753646695,0
6,hard,clean,decayed_material_memory,375,0.9973333333333333,0.8647002128635023,0.010951044723409176,0.06940400316768787,0
6,hard,clean,contour_material_memory,375,1,0.7555060828055487,0.016079523466163356,0.13870642375735898,0
